,estimate,true_parameter,ci_low,ci_high,ci_width,empirical_coverage,desired_coverage,noise,technique,model,iteration,test_error,rectifier,relative_bias,prediction_variance,true_value,wasserstein,tv,mean,std
0,1.0765121880433937,1.0779747360614191,0.982538413257589,1.1704859628291984,0.18794754957160942,1,0.95,,ppi,xgboost,0,2.5379897834037157,9.936323823307191,-0.0013567553757049713,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
1,1.0673538465312467,1.0779747360614191,1.0254174332109112,1.1092902598515821,0.08387282664067097,1,0.95,,naive,xgboost,0,2.5379897834037157,9.936323823307191,-0.009852633067244114,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
2,0.8248739559955376,1.0779747360614191,0.42797512993272113,1.2217727820583542,0.793797652125633,1,0.95,,classical,xgboost,0,2.5379897834037157,9.936323823307191,-0.23479286814330386,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
3,1.0765121880433937,1.0779747360614191,0.982538413257589,1.1704859628291984,0.18794754957160942,1,0.95,,ppi_pp,xgboost,0,2.5379897834037157,9.936323823307191,-0.0013567553757049713,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
4,-0.06793461146965013,1.0779747360614191,0.0,0.0,0.12612864479089203,0,0.95,,ratio,xgboost,0,2.5379897834037157,9.936323823307191,-1.0630205970483704,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
5,1.0777862024911284,1.0779747360614191,0.9802551027339318,1.1753173022483252,0.1950621995143934,1,0.95,,ppi,xgboost,1,2.4978234577785052,8.514431916868043,-0.000174896093557384,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
6,1.063635241109819,1.0779747360614191,1.0212668706677177,1.1060036115519205,0.0847367408842028,1,0.95,,naive,xgboost,1,2.4978234577785052,8.514431916868043,-0.013302255119625564,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
7,0.9168986884283438,1.0779747360614191,0.5518010018962081,1.2819963749604795,0.7301953730642714,1,0.95,,classical,xgboost,1,2.4978234577785052,8.514431916868043,-0.14942469637238126,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
8,1.0555246877040068,1.0779747360614191,0.9509508765146423,1.1600984988933711,0.20914762237872886,1,0.95,,ppi_pp,xgboost,1,2.4978234577785052,8.514431916868043,-0.02082613590689314,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
9,0.01393986322959311,1.0779747360614191,0.0,0.044380888864144,0.060882051269101775,0,0.95,,ratio,xgboost,1,2.4978234577785052,8.514431916868043,-0.987068469451775,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
