,ppi_widths,naive_widths,classical_widths,ppi_preds,ppi_lowers,ppi_uppers,naive_preds,naive_lowers,naive_uppers,classical_preds,classical_lowers,classical_uppers,ppi_coverages,naive_coverages,classical_coverages,rho,iteration
0,[9.1705755],4.590730553893607,9.173475948491063,[1.00501046],[-3.58027729],[5.59029821],2.58388305336187,0.2885177764150666,4.879248330308673,0.9828900692463867,-3.603847904999145,5.569628043491918,1.0,1.0,1.0,0.1,0
1,[1.39828069],0.7002495828951638,1.39964289256854,[1.98140384],[1.28226349],[2.68054419],1.7601364169426836,1.4100116254951016,2.1102612083902654,1.997497355291625,1.297675909007355,2.697318801575895,1.0,1.0,1.0,0.25,0
2,[0.28740421],0.14773126848970453,0.29044493594349663,[1.94699334],[1.80329123],[2.09069544],1.9797323269499305,1.9058666927050782,2.0535979611947828,1.9503154603682396,1.8050929923964911,2.0955379283399878,1.0,1.0,1.0,0.5,0
3,[0.05045206],0.04741331002551252,0.06793086295995909,[1.98995182],[1.96472579],[2.01517785],1.995662315610447,1.9719556605976907,2.019368970623203,1.9840899736281026,1.950124542148123,2.018055405108082,1.0,1.0,1.0,0.9,0
