,estimate,true_parameter,ci_low,ci_high,ci_width,empirical_coverage,desired_coverage,noise,technique,model,iteration,test_error,rectifier,relative_bias,prediction_variance,true_value,wasserstein,tv,mean,std
0,1.076512188065559,1.0779747360614191,0.9825384137825902,1.1704859623485278,0.18794754856593754,1,0.95,,ppi,xgboost,0,2.537989782988588,9.936323820290625,-0.0013567553551429117,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
1,1.0673538485071805,1.0779747360614191,1.025417435205779,1.109290261808582,0.08387282660280304,1,0.95,,naive,xgboost,0,2.537989782988588,9.936323820290625,-0.00985263123423839,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
2,0.8248739559955376,1.0779747360614191,0.42797512993272113,1.2217727820583542,0.793797652125633,1,0.95,,classical,xgboost,0,2.537989782988588,9.936323820290625,-0.23479286814330386,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
3,1.076512188065559,1.0779747360614191,0.9825384137825902,1.1704859623485278,0.18794754856593754,1,0.95,,ppi_pp,xgboost,0,2.537989782988588,9.936323820290625,-0.0013567553551429117,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
4,-0.06793461146965013,1.0779747360614191,0.0,0.0,0.12612864479089203,0,0.95,,ratio,xgboost,0,2.537989782988588,9.936323820290625,-1.0630205970483704,4.6299024,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
5,1.0777862054830953,1.0779747360614191,0.9802551057376918,1.1753173052284989,0.19506219949080705,1,0.95,,ppi,xgboost,1,2.4978234571684133,8.514431916868043,-0.00017489331801284072,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
6,1.063635244063973,1.0779747360614191,1.0212668736482875,1.1060036144796583,0.08473674083137084,1,0.95,,naive,xgboost,1,2.4978234571684133,8.514431916868043,-0.013302252379158917,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
7,0.9168986884283438,1.0779747360614191,0.5518010018962081,1.2819963749604795,0.7301953730642714,1,0.95,,classical,xgboost,1,2.4978234571684133,8.514431916868043,-0.14942469637238126,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
8,1.0555246914270222,1.0779747360614191,0.9509508802457517,1.1600985026082926,0.20914762236254092,1,0.95,,ppi_pp,xgboost,1,2.4978234571684133,8.514431916868043,-0.020826132453180057,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
9,0.01393986322959311,1.0779747360614191,0.0,0.044380888864144,0.060882051269101775,0,0.95,,ratio,xgboost,1,2.4978234571684133,8.514431916868043,-0.987068469451775,4.7376842,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
10,1.0145922883653586,1.0779747360614191,0.913802001770498,1.1153825749602193,0.20158057318972133,1,0.95,,ppi,xgboost,2,2.524041043662433,9.410188920861742,-0.05879771164919879,4.737284,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
11,1.0409550530632115,1.0779747360614191,0.9985684542176929,1.08334165190873,0.08477319769103708,1,0.95,,naive,xgboost,2,2.524041043662433,9.410188920861742,-0.034341883682233565,4.737284,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
12,1.1774804033447563,1.0779747360614191,0.7976285592294277,1.557332247460085,0.7597036882306574,1,0.95,,classical,xgboost,2,2.524041043662433,9.410188920861742,0.092307977130243,4.737284,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
13,1.0224836397654902,1.0779747360614191,0.9232764967804601,1.1216907827505203,0.19841428597006017,1,0.95,,ppi_pp,xgboost,2,2.524041043662433,9.410188920861742,-0.05147717700572092,4.737284,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
14,0.21881405166510592,1.0779747360614191,0.0,0.7021801266718251,0.9667321500134383,0,0.95,,ratio,xgboost,2,2.524041043662433,9.410188920861742,-0.7970137477761458,4.737284,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
15,1.1392841313541904,1.0779747360614191,1.0479348253578022,1.2306334373505785,0.18269861199277626,1,0.95,,ppi,xgboost,3,2.555553747073361,10.414342816766247,0.05687461240212039,4.736055,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
16,1.0683913295100262,1.0779747360614191,1.0259778161683228,1.1108048428517296,0.0848270266834068,1,0.95,,naive,xgboost,3,2.555553747073361,10.414342816766247,-0.008890195874541222,4.736055,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
17,1.0858671059629916,1.0779747360614191,0.6827501792033206,1.4889840327226627,0.8062338535193421,1,0.95,,classical,xgboost,3,2.555553747073361,10.414342816766247,0.007321479472152319,4.736055,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
18,1.1392841313541904,1.0779747360614191,1.0479348253578022,1.2306334373505785,0.18269861199277626,1,0.95,,ppi_pp,xgboost,3,2.555553747073361,10.414342816766247,0.05687461240212039,4.736055,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
19,-0.08051936934980307,1.0779747360614191,0.0,0.8231409280176263,1.8073205947348587,0,0.95,,ratio,xgboost,3,2.555553747073361,10.414342816766247,-1.0746950430805042,4.736055,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
20,1.031621848461915,1.0779747360614191,0.9328153748376388,1.1304283220861913,0.1976129472485525,1,0.95,,ppi,xgboost,4,2.5583972940192403,10.012653648445301,-0.04299997583325835,4.7739673,1.0779747360614191,0.021041607600315253,0.008440755675294176,0,3
