,estimate,true_parameter,ci_low,ci_high,ci_width,empirical_coverage,desired_coverage,noise,technique,model,iteration,test_error,rectifier,relative_bias
0,375.2046510317319,386.73124095693987,363.740855053855,386.66844700960877,22.92759195575377,0,0.95,10,ppi,linear_regression,0,143.835487632566,3.8518312381571844,-0.029805168821340194
1,382.0087981652792,386.73124095693987,374.16262710545516,389.8549692251032,15.69234211964806,1,0.95,10,naive,linear_regression,0,143.835487632566,3.8518312381571844,-0.012211174819948144
2,384.9611140606693,386.73124095693987,373.34968409480945,396.5725440265291,23.222859931719654,1,0.95,10,classical,linear_regression,0,143.835487632566,3.8518312381571844,-0.004577149991530396
3,380.01082122540913,386.73124095693987,371.2518204285556,388.76982202226264,17.518001593707027,1,0.95,10,ppi_pp,linear_regression,0,143.835487632566,3.8518312381571844,-0.01737749377294041
4,380.07997414377957,386.73124095693987,380.07997414377957,380.07997414377957,0.0,0,0.95,10,ratio,linear_regression,0,143.835487632566,3.8518312381571844,-0.01719867988089662
5,388.46978079112154,386.73124095693987,376.7645786256561,400.174982956587,23.410404330930874,1,0.95,10,ppi,linear_regression,1,151.31286499435834,5.456387524779963,0.004495472953981602
6,389.37147161457386,386.73124095693987,381.4553582254117,397.287585003736,15.832226778324298,1,0.95,10,naive,linear_regression,1,151.31286499435834,5.456387524779963,0.00682704260224988
7,384.81677491324626,386.73124095693987,373.3329888741634,396.30056095232914,22.967572078165745,1,0.95,10,classical,linear_regression,1,151.31286499435834,5.456387524779963,-0.004950378559943575
8,386.60279367000584,386.73124095693987,377.8955886882122,395.3099986517995,17.41440996358733,1,0.95,10,ppi_pp,linear_regression,1,151.31286499435834,5.456387524779963,-0.00033213579181293814
9,386.61538935831055,386.73124095693987,386.61538935831055,386.61538935831055,0.0,0,0.95,10,ratio,linear_regression,1,151.31286499435834,5.456387524779963,-0.00029956617505907403
10,389.755750646407,386.73124095693987,378.027961887725,401.48353940508906,23.455577517364077,1,0.95,10,ppi,linear_regression,2,138.5581608907219,0.3684069194504242,0.007820701741041687
11,388.07778010492535,386.73124095693987,380.075058816682,396.08050139316873,16.005442576486757,1,0.95,10,naive,linear_regression,2,138.5581608907219,0.3684069194504242,0.003481847353871808
12,386.0314026439933,386.73124095693987,374.16859070312586,397.8942145848608,23.72562388173492,1,0.95,10,classical,linear_regression,2,138.5581608907219,0.3684069194504242,-0.0018096244596502004
13,387.9186276929081,386.73124095693987,378.9148622914407,396.9223930943755,18.007530802934753,1,0.95,10,ppi_pp,linear_regression,2,138.5581608907219,0.3684069194504242,0.003070315015228988
14,387.87887670091425,386.73124095693987,387.87887670091425,387.87887670091425,0.0,0,0.95,10,ratio,linear_regression,2,138.5581608907219,0.3684069194504242,0.002967527891293785
15,382.1780036986118,386.73124095693987,370.66974282109607,393.68626457612754,23.016521755031476,1,0.95,10,ppi,linear_regression,3,144.28206293599928,2.1198581407206736,-0.011773647370875431
16,384.58087738282813,386.73124095693987,376.81478014091647,392.3469746247398,15.532194483823332,1,0.95,10,naive,linear_regression,3,144.28206293599928,2.1198581407206736,-0.005560356512162838
17,384.8638929263238,386.73124095693987,373.66239105777447,396.0653947948731,22.40300373709863,1,0.95,10,classical,linear_regression,3,144.28206293599928,2.1198581407206736,-0.004828541976581621
18,383.561660501275,386.73124095693987,375.1369593828188,391.9863616197312,16.849402236912397,1,0.95,10,ppi_pp,linear_regression,3,144.28206293599928,2.1198581407206736,-0.00819582211104008
19,383.53892679773844,386.73124095693987,383.53892679773844,383.53892679773844,0.0,0,0.95,10,ratio,linear_regression,3,144.28206293599928,2.1198581407206736,-0.00825460635479634
20,383.9366177586109,386.73124095693987,372.5317283428185,395.3415071744033,22.809778831584822,1,0.95,10,ppi,linear_regression,4,141.5924081802865,-2.475441550851337,-0.007226266984311535
21,386.186146501922,386.73124095693987,378.2762141867161,394.0960788171279,15.819864630411757,1,0.95,10,naive,linear_regression,4,141.5924081802865,-2.475441550851337,-0.0014094916502454674
22,390.9111167960844,386.73124095693987,379.001041178285,402.8211924138838,23.820151235598814,1,0.95,10,classical,linear_regression,4,141.5924081802865,-2.475441550851337,0.010808218722650163
23,387.2401911607502,386.73124095693987,378.2842734453465,396.1961088761539,17.9118354308074,1,0.95,10,ppi_pp,linear_regression,4,141.5924081802865,-2.475441550851337,0.0013160307467040445
24,387.348535149749,386.73124095693987,387.348535149749,387.348535149749,0.0,0,0.95,10,ratio,linear_regression,4,141.5924081802865,-2.475441550851337,0.0015961839319773815
25,383.38019426634344,386.73124095693987,372.0872586309689,394.67312990171797,22.585871270749067,1,0.95,10,ppi,linear_regression,5,136.85013207691384,2.114576170846764,-0.008665052976595578
26,379.7022594240657,386.73124095693987,372.12952851913695,387.2749903289944,15.145461809857466,1,0.95,10,naive,linear_regression,5,136.85013207691384,2.114576170846764,-0.018175365185086813
27,373.9097484109412,386.73124095693987,363.06489385918434,384.754602962698,21.689709103513678,0,0.95,10,classical,linear_regression,5,136.85013207691384,2.114576170846764,-0.03315349573071157
28,378.42564905120406,386.73124095693987,370.1471875117106,386.7041105906975,16.55692307898687,0,0.95,10,ppi_pp,linear_regression,5,136.85013207691384,2.114576170846764,-0.021476392455867268
29,378.65045402470207,386.73124095693987,378.65045402470207,378.65045402470207,0.0,0,0.95,10,ratio,linear_regression,5,136.85013207691384,2.114576170846764,-0.020895097360747086
30,376.5505698749467,386.73124095693987,364.80229971240453,388.29884003748884,23.49654032508431,1,0.95,100,ppi,linear_regression,0,151.89763912372857,1.1787915275215997,-0.026324925436077548
31,380.24731159099804,386.73124095693987,372.3021230028091,388.192500179187,15.89037717637791,1,0.95,100,naive,linear_regression,0,151.89763912372857,1.1787915275215997,-0.01676598288231847
32,382.7652617795278,386.73124095693987,371.21206630480697,394.31845725424864,23.106390949441675,1,0.95,100,classical,linear_regression,0,151.89763912372857,1.1787915275215997,-0.010255130068102395
33,379.71819222402473,386.73124095693987,370.9838107590754,388.45257368897404,17.468762929898617,1,0.95,100,ppi_pp,linear_regression,0,151.89763912372857,1.1787915275215997,-0.018134166548225663
34,379.7368972969637,386.73124095693987,379.7368972969637,379.7368972969637,0.0,0,0.95,100,ratio,linear_regression,0,151.89763912372857,1.1787915275215997,-0.01808579943701763
35,387.18694805147885,386.73124095693987,375.6460077023225,398.7278884006352,23.081880698312716,1,0.95,100,ppi,linear_regression,1,147.45650305378823,-2.015266764119071,0.0011783560423289407
36,386.13296850663096,386.73124095693987,378.2640026870971,394.0019343261648,15.73793163906771,1,0.95,100,naive,linear_regression,1,147.45650305378823,-2.015266764119071,-0.0015469979845138127
37,387.09425572590214,386.73124095693987,375.6355593264879,398.5529521253164,22.917392798828473,1,0.95,100,classical,linear_regression,1,147.45650305378823,-2.015266764119071,0.0009386745380694305
38,387.14021416228775,386.73124095693987,378.53747353242505,395.74295479215044,17.20548125972539,1,0.95,100,ppi_pp,linear_regression,1,147.45650305378823,-2.015266764119071,0.0010575127169346363
39,387.1408325722123,386.73124095693987,387.1408325722123,387.1408325722123,0.0,0,0.95,100,ratio,linear_regression,1,147.45650305378823,-2.015266764119071,0.0010591117858978708
40,384.0916694962304,386.73124095693987,372.5080647750492,395.6752742174116,23.167209442362378,1,0.95,100,ppi,linear_regression,2,141.83079862566134,-6.053550735946301,-0.006825338067279069
41,378.9459205820204,386.73124095693987,371.0831742959457,386.8086668680951,15.725492572149392,1,0.95,100,naive,linear_regression,2,141.83079862566134,-6.053550735946301,-0.02013108730408032
42,379.8537224037567,386.73124095693987,368.38121677511003,391.3262280324034,22.945011257293345,1,0.95,100,classical,linear_regression,2,141.83079862566134,-6.053550735946301,-0.01778371598882267
43,381.94860495206717,386.73124095693987,373.2752050340153,390.62200487011904,17.34679983610374,1,0.95,100,ppi_pp,linear_regression,2,141.83079862566134,-6.053550735946301,-0.012366820929797127
44,381.95758820571604,386.73124095693987,381.95758820571604,381.95758820571604,0.0,0,0.95,100,ratio,linear_regression,2,141.83079862566134,-6.053550735946301,-0.012343592256502887
45,396.11998515243124,386.73124095693987,384.0780569197586,408.1619133851039,24.08385646534532,1,0.95,100,ppi,linear_regression,3,149.50308246494313,-1.7322495062020855,0.024277180639090776
46,396.9982337568542,386.73124095693987,388.71905842110687,405.2774090926015,16.558350671494622,0,0.95,100,naive,linear_regression,3,149.50308246494313,-1.7322495062020855,0.026548133981907793
47,399.6087318674793,386.73124095693987,387.21029656245474,412.0071671725039,24.796870610049154,0,0.95,100,classical,linear_regression,3,149.50308246494313,-1.7322495062020855,0.033298294905461955
48,397.80285451953335,386.73124095693987,388.4240878431914,407.1816211958753,18.757533352683936,0,0.95,100,ppi_pp,linear_regression,3,149.50308246494313,-1.7322495062020855,0.02862870228740129
49,397.8533891293664,386.73124095693987,397.8533891293664,397.8533891293664,0.0,0,0.95,100,ratio,linear_regression,3,149.50308246494313,-1.7322495062020855,0.028759373421463296
50,380.51015952448626,386.73124095693987,368.94446114584287,392.07585790312964,23.13139675728678,1,0.95,100,ppi,linear_regression,4,150.8085589155417,-2.957378799267712,-0.016086317249829566
51,378.3125677889421,386.73124095693987,370.4575849471104,386.1675506307738,15.709965683663427,0,0.95,100,naive,linear_regression,4,150.8085589155417,-2.957378799267712,-0.021768795164224006
52,379.07235485266557,386.73124095693987,367.5787832249688,390.56592648036235,22.987143255393562,1,0.95,100,classical,linear_regression,4,150.8085589155417,-2.957378799267712,-0.01980415671959399
53,379.7858442571876,386.73124095693987,371.07979791008296,388.4918906042922,17.412092694209264,1,0.95,100,ppi_pp,linear_regression,4,150.8085589155417,-2.957378799267712,-0.01795923360772813
54,379.7844673862752,386.73124095693987,379.7844673862752,379.7844673862752,0.0,0,0.95,100,ratio,linear_regression,4,150.8085589155417,-2.957378799267712,-0.01796279388620211
55,384.81616571140137,386.73124095693987,373.2929697192443,396.33936170355844,23.04639198431414,1,0.95,100,ppi,linear_regression,5,143.78114936936953,4.574417698156754,-0.0049519538188840945
56,386.5859266121971,386.73124095693987,378.7734371265322,394.398416097862,15.624978971329824,1,0.95,100,naive,linear_regression,5,143.78114936936953,4.574417698156754,-0.0003757502093267342
57,383.78126981483604,386.73124095693987,372.37697373428546,395.1855658953866,22.80859216110116,1,0.95,100,classical,linear_regression,5,143.78114936936953,4.574417698156754,-0.007627961823834902
58,384.29228771183944,386.73124095693987,375.60755739588615,392.9770180277927,17.369460631906577,1,0.95,100,ppi_pp,linear_regression,5,143.78114936936953,4.574417698156754,-0.006306584487628704
59,384.30335798312274,386.73124095693987,384.30335798312274,384.30335798312274,0.0,0,0.95,100,ratio,linear_regression,5,143.78114936936953,4.574417698156754,-0.006277959256173627
60,385.04479085556244,386.73124095693987,373.98308374206135,396.1064979690635,22.123414227002172,1,0.95,1000,ppi,linear_regression,0,141.53567806716072,2.680307681990949,-0.004360780621716587
61,381.8617575187553,386.73124095693987,374.36998549856844,389.3535295389422,14.983544040373772,1,0.95,1000,naive,linear_regression,0,141.53567806716072,2.680307681990949,-0.012591388857376361
62,375.9984164999573,386.73124095693987,365.1438813217865,386.852951678128,21.7090703563415,1,0.95,1000,classical,linear_regression,0,141.53567806716072,2.680307681990949,-0.027752669865576316
63,380.42166388813007,386.73124095693987,372.17990529477777,388.66342248148237,16.483517186704603,1,0.95,1000,ppi_pp,linear_regression,0,141.53567806716072,2.680307681990949,-0.01631514705974409
64,380.61045012262906,386.73124095693987,380.61045012262906,380.61045012262906,0.0,0,0.95,1000,ratio,linear_regression,0,141.53567806716072,2.680307681990949,-0.015826988321826118
65,380.32907908558633,386.73124095693987,368.98262410824236,391.6755340629303,22.692909954687934,1,0.95,1000,ppi,linear_regression,1,146.0992881693567,0.7767086678872116,-0.016554550533625968
66,379.526671962912,386.73124095693987,371.8611086371658,387.19223528865825,15.331126651492468,1,0.95,1000,naive,linear_regression,1,146.0992881693567,0.7767086678872116,-0.018629394863990408
67,377.9475561723504,386.73124095693987,366.84306140038234,389.05205094431847,22.208989543936127,1,0.95,1000,classical,linear_regression,1,146.0992881693567,0.7767086678872116,-0.022712633101103608
68,379.10882475796745,386.73124095693987,370.706772057407,387.5108774585279,16.804105401120864,1,0.95,1000,ppi_pp,linear_regression,1,146.0992881693567,0.7767086678872116,-0.019709853747815333
69,379.1312818260362,386.73124095693987,379.1312818260362,379.1312818260362,0.0,0,0.95,1000,ratio,linear_regression,1,146.0992881693567,0.7767086678872116,-0.01965178482115415
70,377.1946804291652,386.73124095693987,365.9993889581566,388.3899719001738,22.390582942017204,1,0.95,1000,ppi,linear_regression,2,148.34006378217538,4.226837295944514,-0.02465940042541457
71,380.6565902838006,386.73124095693987,373.05938247847973,388.25379808912146,15.194415610641727,1,0.95,1000,naive,linear_regression,2,148.34006378217538,4.226837295944514,-0.015707680243540627
72,379.89166284249154,386.73124095693987,368.8410368494303,390.9422888355528,22.10125198612252,1,0.95,1000,classical,linear_regression,2,148.34006378217538,4.226837295944514,-0.017685610548359796
73,378.5632122463437,386.73124095693987,370.27783716241686,386.84858733027056,16.570750167853703,1,0.95,1000,ppi_pp,linear_regression,2,148.34006378217538,4.226837295944514,-0.02112068497591489
74,378.5574014360268,386.73124095693987,378.5574014360268,378.5574014360268,0.0,0,0.95,1000,ratio,linear_regression,2,148.34006378217538,4.226837295944514,-0.02113571042434398
