,estimate,true_parameter,ci_low,ci_high,ci_width,empirical_coverage,desired_coverage,noise,technique,model,iteration,test_error,rectifier,relative_bias
0,29360.89706264763,333.94757535464237,0.0,63647.86289700897,68573.93166872268,1,0.95,0.3,ppi,xgboost,0,63882.37032759201,9633.352233690259,86.92067746402181
1,38982.324378674704,333.94757535464237,37787.54034135689,40177.108415992516,2389.568074635623,0,0.95,0.3,naive,xgboost,0,63882.37032759201,9633.352233690259,115.73186827985391
2,24076.17729969597,333.94757535464237,0.0,48651.118320253314,49149.88204111469,1,0.95,0.3,classical,xgboost,0,63882.37032759201,9633.352233690259,71.09567931172367
3,25051.330255176632,333.94757535464237,7980.569613274998,42122.09089707826,34141.52128380326,0,0.95,0.3,ppi_pp,xgboost,0,63882.37032759201,9633.352233690259,74.01575727439514
4,28916.94865699771,333.94757535464237,0.0,3880172054.3638997,7760286274.830485,1,0.95,0.3,ratio,xgboost,0,63882.37032759201,9633.352233690259,85.59128195881875
5,49078.987501735515,333.94757535464237,17540.48045229744,80617.49455117359,63077.01409887614,0,0.95,0.3,ppi,xgboost,1,56246.037514483054,-9682.9810685568,145.96614416084648
6,39386.06171424322,333.94757535464237,38252.77675925336,40519.34666923308,2266.5699099797203,0,0.95,0.3,naive,xgboost,1,56246.037514483054,-9682.9810685568,116.94085245990001
7,26955.16304487516,333.94757535464237,0.0,73409.7383196332,92909.15054951607,1,0.95,0.3,classical,xgboost,1,56246.037514483054,-9682.9810685568,79.71675027509806
8,29604.676636481156,333.94757535464237,0.0,64993.47070561462,70777.58813826693,1,0.95,0.3,ppi_pp,xgboost,1,56246.037514483054,-9682.9810685568,87.65067100739351
9,39640.7279650806,333.94757535464237,0.0,13865036131.586224,27729992981.71652,1,0.95,0.3,ratio,xgboost,1,56246.037514483054,-9682.9810685568,117.7034459614906
10,100654.80042037283,333.94757535464237,0.0,202244.01088787426,203178.42093500285,1,0.95,0.3,ppi,xgboost,2,52154.48215304752,-59869.1970968392,300.4089870647524
11,40837.8672739642,333.94757535464237,39368.32361312222,42307.410934806176,2939.0873216839536,0,0.95,0.3,naive,xgboost,2,52154.48215304752,-59869.1970968392,121.28825806145052
12,106167.80531217123,333.94757535464237,0.0,318781.1173471551,425226.6240699678,1,0.95,0.3,classical,xgboost,2,52154.48215304752,-59869.1970968392,316.91758092396447
13,100654.80042037283,333.94757535464237,0.0,202244.01088787426,203178.42093500285,1,0.95,0.3,ppi_pp,xgboost,2,52154.48215304752,-59869.1970968392,300.4089870647524
14,112817.42320352088,333.94757535464237,0.0,290431588975.985,580862952317.1235,1,0.95,0.3,ratio,xgboost,2,52154.48215304752,-59869.1970968392,336.8297419399202
15,29556.256218749448,333.94757535464237,22500.248159216135,36612.26427828276,14112.016119066626,0,0.95,0.3,ppi,xgboost,3,54722.42458543114,8293.43158931701,87.50567693854816
16,37827.27640475714,333.94757535464237,36823.72984563323,38830.82296388105,2007.0931182478234,0,0.95,0.3,naive,xgboost,3,54722.42458543114,8293.43158931701,112.27309792438439
17,9813.022268104865,333.94757535464237,0.0,23009.76436496067,26393.484193711607,1,0.95,0.3,classical,xgboost,3,54722.42458543114,8293.43158931701,28.384918449201876
18,11085.082550079205,333.94757535464237,1355.2241085801616,20814.94099157825,19459.716882998087,0,0.95,0.3,ppi_pp,xgboost,3,54722.42458543114,8293.43158931701,32.194080053754476
19,12173.8141908535,333.94757535464237,0.0,1118924955.8315525,2237825564.0347233,1,0.95,0.3,ratio,xgboost,3,54722.42458543114,8293.43158931701,35.45426734398437
20,32322.166330611304,333.94757535464237,18504.52305071563,46139.80961050698,27635.286559791348,0,0.95,0.3,ppi,xgboost,4,54572.3687026632,5040.802712000395,95.78814495444719
21,37366.26167767832,333.94757535464237,36341.237491874694,38391.28586348194,2050.0483716072486,0,0.95,0.3,naive,xgboost,4,54572.3687026632,5040.802712000395,110.89259762702711
22,41482.055510961036,333.94757535464237,3583.9713191392293,79380.13970278285,75796.16838364361,0,0.95,0.3,classical,xgboost,4,54572.3687026632,5040.802712000395,123.21726813530037
23,37067.18279680301,333.94757535464237,17303.49828785113,56830.867305754895,39527.369017903766,0,0.95,0.3,ppi_pp,xgboost,4,54572.3687026632,5040.802712000395,109.99701130465992
24,36042.58609680165,333.94757535464237,0.0,9227817255.700306,18455562426.228416,1,0.95,0.3,ratio,xgboost,4,54572.3687026632,5040.802712000395,106.9288749395036
25,58938.420004495245,333.94757535464237,0.0,120694.03885923684,123511.23770948319,1,0.95,0.3,ppi,xgboost,5,55810.05539226169,-20858.41278090267,175.49003722187354
26,38114.056308453146,333.94757535464237,37038.91939178506,39189.193225121235,2150.2738333361776,0,0.95,0.3,naive,xgboost,5,55810.05539226169,-20858.41278090267,113.13185518109289
27,80675.41238417415,333.94757535464237,0.0,199855.77924629152,238360.73372423474,1,0.95,0.3,classical,xgboost,5,55810.05539226169,-20858.41278090267,240.58106941935205
28,58938.420004495245,333.94757535464237,0.0,120694.03885923684,123511.23770948319,1,0.95,0.3,ppi_pp,xgboost,5,55810.05539226169,-20858.41278090267,175.49003722187354
29,60838.154045274125,333.94757535464237,0.0,91258326816.85214,182516531957.39618,1,0.95,0.3,ratio,xgboost,5,55810.05539226169,-20858.41278090267,181.17875659275506
30,3259.7008024264505,333.94757535464237,0.0,41101.362373831835,75683.32314281077,1,0.95,0.3,ppi,xgboost,6,56541.239636072096,36678.151335947885,8.76111534561898
31,39923.181816645956,333.94757535464237,38719.82253537657,41126.541097915346,2406.718562538779,0,0.95,0.3,naive,xgboost,6,56541.239636072096,36678.151335947885,118.54924893300611
32,21585.279656178587,333.94757535464237,2342.421271412735,40828.13804094444,38485.716769531704,0,0.95,0.3,classical,xgboost,6,56541.239636072096,36678.151335947885,63.636731179304604
33,18521.332894088533,333.94757535464237,5409.406415617559,31633.259372559507,26223.852956941948,0,0.95,0.3,ppi_pp,xgboost,6,56541.239636072096,36678.151335947885,54.46179778194056
34,18187.793656431804,333.94757535464237,0.0,2379059296.2894173,4758082216.991522,1,0.95,0.3,ratio,xgboost,6,56541.239636072096,36678.151335947885,53.4630205418228
35,20369.061485061284,333.94757535464237,0.0,44091.13401783288,47444.1450655432,1,0.95,0.3,ppi,xgboost,7,61629.25994268757,20813.0990981735,59.99478776999638
36,41183.37220606932,333.94757535464237,39976.70921468564,42390.035197453,2413.325982767361,0,0.95,0.3,naive,xgboost,7,61629.25994268757,20813.0990981735,122.3228663580917
37,42697.9007492386,333.94757535464237,0.0,93086.30676174207,100776.81202500695,1,0.95,0.3,classical,xgboost,7,61629.25994268757,20813.0990981735,126.85809480393652
38,20369.061485061284,333.94757535464237,0.0,44091.13401783288,47444.1450655432,1,0.95,0.3,ppi_pp,xgboost,7,61629.25994268757,20813.0990981735,59.99478776999638
