,estimate,true_parameter,ci_low,ci_high,ci_width,empirical_coverage,desired_coverage,noise,technique,model,iteration,test_error,rectifier,relative_bias,prediction_variance,true_value
0,1.1527547320248557,1.1631356126821482,1.0420892637328405,1.2634202003168709,0.22133093658403036,1,0.95,0.3,ppi,xgboost,0,2.58324098810413,8.68054563071982,-0.008924909996827067,4.7986135,1.1631356126821482
1,1.1418161806296652,1.1631356126821482,1.0991633885360406,1.1844689727232898,0.0853055841872492,1,0.95,0.3,naive,xgboost,0,2.58324098810413,8.68054563071982,-0.01832927460910698,4.7986135,1.1631356126821482
2,0.8631245018185814,1.1631356126821482,0.4885346341286822,1.2377143695084805,0.7491797353797982,1,0.95,0.3,classical,xgboost,0,2.58324098810413,8.68054563071982,-0.2579330454612701,4.7986135,1.1631356126821482
3,1.1118100797824815,1.1631356126821482,0.9911601553022626,1.2324600042627003,0.24129984896043766,1,0.95,0.3,ppi_pp,xgboost,0,2.58324098810413,8.68054563071982,-0.044126869077038985,4.7986135,1.1631356126821482
4,-0.0710848333309457,1.1631356126821482,0.0,0.0,0.14023767784954572,0,0.95,0.3,ratio,xgboost,0,2.58324098810413,8.68054563071982,-1.061114828362126,4.7986135,1.1631356126821482
5,1.1319939243933979,1.1631356126821482,1.015139880249304,1.2488479685374918,0.2337080882881879,1,0.95,0.3,ppi,xgboost,1,2.559787757963548,8.894581633546187,-0.026773910066203464,4.844573,1.1631356126821482
6,1.1418454560189837,1.1631356126821482,1.0989932311322788,1.1846976809056886,0.08570444977340985,1,0.95,0.3,naive,xgboost,1,2.559787757963548,8.894581633546187,-0.018304105240205096,4.844573,1.1631356126821482
7,0.8909549818007603,1.1631356126821482,0.5171188934121527,1.2647910701893679,0.7476721767772152,1,0.95,0.3,classical,xgboost,1,2.559787757963548,8.894581633546187,-0.23400593010281004,4.844573,1.1631356126821482
8,1.0999895463233569,1.1631356126821482,0.9790937398989801,1.2208853527477337,0.2417916128487536,1,0.95,0.3,ppi_pp,xgboost,1,2.559787757963548,8.894581633546187,-0.054289513338155605,4.844573,1.1631356126821482
9,0.013545433914095751,1.1631356126821482,0.0,0.04407284839786003,0.06105482896752855,0,0.95,0.3,ratio,xgboost,1,2.559787757963548,8.894581633546187,-0.9883543812377471,4.844573,1.1631356126821482
10,1.1029867853954365,1.1631356126821482,0.983643890851039,1.222329679939834,0.238685789088795,1,0.95,0.3,ppi,xgboost,2,2.618319289894152,10.841810055907306,-0.051712652102544325,4.789241,1.1631356126821482
11,1.1394393822338496,1.1631356126821482,1.0967801800144983,1.1820985844532008,0.08531840443870253,1,0.95,0.3,naive,xgboost,2,2.618319289894152,10.841810055907306,-0.02037271509007962,4.789241,1.1631356126821482
12,1.2607189795167582,1.1631356126821482,0.8503802108584857,1.6710577481750306,0.8206775373165449,1,0.95,0.3,classical,xgboost,2,2.618319289894152,10.841810055907306,0.08389680942670677,4.789241,1.1631356126821482
13,1.1029867853954365,1.1631356126821482,0.983643890851039,1.222329679939834,0.238685789088795,1,0.95,0.3,ppi_pp,xgboost,2,2.618319289894152,10.841810055907306,-0.051712652102544325,4.789241,1.1631356126821482
14,0.2342824790421494,1.1631356126821482,0.0,0.7572056322187419,1.045846306353185,0,0.95,0.3,ratio,xgboost,2,2.618319289894152,10.841810055907306,-0.798576815559879,4.789241,1.1631356126821482
15,1.1857648006897314,1.1631356126821482,1.075892943765407,1.2956366576140559,0.21974371384864888,1,0.95,0.3,ppi,xgboost,3,2.5677478235831686,9.373303974552032,0.019455330711954738,4.81956,1.1631356126821482
16,1.136496126016824,1.1631356126821482,1.0937469674041982,1.1792452846294499,0.0854983172252517,1,0.95,0.3,naive,xgboost,3,2.5677478235831686,9.373303974552032,-0.022903164837240635,4.81956,1.1631356126821482
17,1.2458198022072389,1.1631356126821482,0.86522889237941,1.6264107120350677,0.7611818196556577,1,0.95,0.3,classical,xgboost,3,2.5677478235831686,9.373303974552032,0.0710873165807588,4.81956,1.1631356126821482
18,1.1902388947374185,1.1631356126821482,1.0812705123276356,1.2992072771472014,0.2179367648195658,1,0.95,0.3,ppi_pp,xgboost,3,2.5677478235831686,9.373303974552032,0.023301910593874067,4.81956,1.1631356126821482
19,-0.09238020402898428,1.1631356126821482,0.0,0.9413436736068324,2.0674477552716333,0,0.95,0.3,ratio,xgboost,3,2.5677478235831686,9.373303974552032,-1.0794234163426213,4.81956,1.1631356126821482
20,1.114673994051931,1.1631356126821482,0.9998277225681181,1.2295202655357438,0.22969254296762565,1,0.95,0.3,ppi,xgboost,4,2.5735086732264985,10.048493502544781,-0.041664633170732705,4.801284,1.1631356126821482
21,1.1138199983187378,1.1631356126821482,1.0711185795767113,1.1565214170607643,0.08540283748405297,0,0.95,0.3,naive,xgboost,4,2.5735086732264985,10.048493502544781,-0.04239885171230409,4.801284,1.1631356126821482
22,1.0713245846418122,1.1631356126821482,0.6676541868403898,1.4749949824432347,0.8073407956028449,1,0.95,0.3,classical,xgboost,4,2.5735086732264985,10.048493502544781,-0.0789340701456325,4.801284,1.1631356126821482
23,1.1144286033615411,1.1631356126821482,0.9995469197983786,1.2293102869247037,0.22976336712632506,1,0.95,0.3,ppi_pp,xgboost,4,2.5735086732264985,10.048493502544781,-0.04187560658407701,4.801284,1.1631356126821482
24,-0.25456281295192057,1.1631356126821482,0.0,0.6355866980125993,1.7802990219290398,0,0.95,0.3,ratio,xgboost,4,2.5735086732264985,10.048493502544781,-1.2188590996409336,4.801284,1.1631356126821482
